"filename", "language", "JavaScript", "Markdown", "JavaScript JSX", "PostCSS", "XML", "JSON", "HTML", "comment", "blank", "total"
"d:\QA project\qanew\GlooveMap\README.md", "Markdown", 0, 7, 0, 0, 0, 0, 0, 0, 6, 13
"d:\QA project\qanew\GlooveMap\eslint.config.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 2, 30
"d:\QA project\qanew\GlooveMap\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"d:\QA project\qanew\GlooveMap\package-lock.json", "JSON", 0, 0, 0, 0, 0, 3866, 0, 0, 1, 3867
"d:\QA project\qanew\GlooveMap\package.json", "JSON", 0, 0, 0, 0, 0, 34, 0, 0, 1, 35
"d:\QA project\qanew\GlooveMap\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\QA project\qanew\GlooveMap\src\App.css", "PostCSS", 0, 0, 0, 38, 0, 0, 0, 0, 7, 45
"d:\QA project\qanew\GlooveMap\src\App.jsx", "JavaScript JSX", 0, 0, 18, 0, 0, 0, 0, 0, 5, 23
"d:\QA project\qanew\GlooveMap\src\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\QA project\qanew\GlooveMap\src\components\Footer.jsx", "JavaScript JSX", 0, 0, 43, 0, 0, 0, 0, 0, 6, 49
"d:\QA project\qanew\GlooveMap\src\components\Navbar.jsx", "JavaScript JSX", 0, 0, 50, 0, 0, 0, 0, 0, 10, 60
"d:\QA project\qanew\GlooveMap\src\index.css", "PostCSS", 0, 0, 0, 7, 0, 0, 0, 1, 0, 8
"d:\QA project\qanew\GlooveMap\src\main.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"d:\QA project\qanew\GlooveMap\src\pages\CreateFesival.jsx", "JavaScript JSX", 0, 0, 200, 0, 0, 0, 0, 6, 30, 236
"d:\QA project\qanew\GlooveMap\src\pages\Home.jsx", "JavaScript JSX", 0, 0, 78, 0, 0, 0, 0, 2, 12, 92
"d:\QA project\qanew\GlooveMap\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 92, 0, 0, 0, 0, 0, 11, 103
"d:\QA project\qanew\GlooveMap\vite.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 1, 5, 12
"Total", "-", 34, 7, 490, 45, 2, 3900, 13, 10, 100, 4601
